time,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
7747.000000,-0.000000,-0.000000,877.355853,1234.978793,-877.355853,-1234.978793,-1234.978793,877.355853,1234.978793,-877.355853
7748.000000,-0.000000,-0.000000,873.335984,1240.871561,-873.335984,-1240.871561,-1240.871561,873.335984,1240.871561,-873.335984
7749.000000,-0.000000,-0.000000,869.303539,1246.746545,-869.303539,-1246.746545,-1246.746545,869.303539,1246.746545,-869.303539
7750.000000,-0.000000,-0.000000,865.258639,1252.603749,-865.258639,-1252.603749,-1252.603749,865.258639,1252.603749,-865.258639
7751.000000,-0.000000,-0.000000,861.201402,1258.443177,-861.201402,-1258.443177,-1258.443177,861.201402,1258.443177,-861.201402
7752.000000,-0.000000,-0.000000,857.131946,1264.264833,-857.131946,-1264.264833,-1264.264833,857.131946,1264.264833,-857.131946
7753.000000,-0.000000,-0.000000,853.050389,1270.068724,-853.050389,-1270.068724,-1270.068724,853.050389,1270.068724,-853.050389
7754.000000,-0.000000,-0.000000,848.956848,1275.854856,-848.956848,-1275.854856,-1275.854856,848.956848,1275.854856,-848.956848
7755.000000,-0.000000,-0.000000,844.851439,1281.623236,-844.851439,-1281.623236,-1281.623236,844.851439,1281.623236,-844.851439
7756.000000,-0.000000,-0.000000,840.734278,1287.373871,-840.734278,-1287.373871,-1287.373871,840.734278,1287.373871,-840.734278
7757.000000,-0.000000,-0.000000,836.605480,1293.106771,-836.605480,-1293.106771,-1293.106771,836.605480,1293.106771,-836.605480
7758.000000,-0.000000,-0.000000,832.465159,1298.821944,-832.465159,-1298.821944,-1298.821944,832.465159,1298.821944,-832.465159
7759.000000,-0.000000,-0.000000,828.313430,1304.519400,-828.313430,-1304.519400,-1304.519400,828.313430,1304.519400,-828.313430
7760.000000,-0.000000,-0.000000,824.150405,1310.199151,-824.150405,-1310.199151,-1310.199151,824.150405,1310.199151,-824.150405
7761.000000,-0.000000,-0.000000,819.976198,1315.861207,-819.976198,-1315.861207,-1315.861207,819.976198,1315.861207,-819.976198
7762.000000,-0.000000,-0.000000,815.790919,1321.505580,-815.790919,-1321.505580,-1321.505580,815.790919,1321.505580,-815.790919
7763.000000,-0.000000,-0.000000,811.594681,1327.132283,-811.594681,-1327.132283,-1327.132283,811.594681,1327.132283,-811.594681
7764.000000,-0.000000,-0.000000,807.387593,1332.741329,-807.387593,-1332.741329,-1332.741329,807.387593,1332.741329,-807.387593
7765.000000,-0.000000,-0.000000,803.169767,1338.332732,-803.169767,-1338.332732,-1338.332732,803.169767,1338.332732,-803.169767
7766.000000,-0.000000,-0.000000,798.941311,1343.906506,-798.941311,-1343.906506,-1343.906506,798.941311,1343.906506,-798.941311
7767.000000,-0.000000,-0.000000,794.702334,1349.462666,-794.702334,-1349.462666,-1349.462666,794.702334,1349.462666,-794.702334
7768.000000,-0.000000,-0.000000,790.452945,1355.001228,-790.452945,-1355.001228,-1355.001228,790.452945,1355.001228,-790.452945
7769.000000,-0.000000,-0.000000,786.193249,1360.522208,-786.193249,-1360.522208,-1360.522208,786.193249,1360.522208,-786.193249
7770.000000,-0.000000,-0.000000,781.923356,1366.025623,-781.923356,-1366.025623,-1366.025623,781.923356,1366.025623,-781.923356
7771.000000,-0.000000,-0.000000,777.643370,1371.511490,-777.643370,-1371.511490,-1371.511490,777.643370,1371.511490,-777.643370
7772.000000,-0.000000,-0.000000,773.353396,1376.979826,-773.353396,-1376.979826,-1376.979826,773.353396,1376.979826,-773.353396
7773.000000,-0.000000,-0.000000,769.053541,1382.430651,-769.053541,-1382.430651,-1382.430651,769.053541,1382.430651,-769.053541
7774.000000,-0.000000,-0.000000,764.743908,1387.863984,-764.743908,-1387.863984,-1387.863984,764.743908,1387.863984,-764.743908
7775.000000,-0.000000,-0.000000,760.424601,1393.279843,-760.424601,-1393.279843,-1393.279843,760.424601,1393.279843,-760.424601
7776.000000,-0.000000,-0.000000,756.095722,1398.678248,-756.095722,-1398.678248,-1398.678248,756.095722,1398.678248,-756.095722
7777.000000,-0.000000,-0.000000,751.757374,1404.059221,-751.757374,-1404.059221,-1404.059221,751.757374,1404.059221,-751.757374
7778.000000,-0.000000,-0.000000,747.409658,1409.422783,-747.409658,-1409.422783,-1409.422783,747.409658,1409.422783,-747.409658
7779.000000,-0.000000,-0.000000,743.052676,1414.768953,-743.052676,-1414.768953,-1414.768953,743.052676,1414.768953,-743.052676
7780.000000,-0.000000,-0.000000,738.686528,1420.097756,-738.686528,-1420.097756,-1420.097756,738.686528,1420.097756,-738.686528
7781.000000,-0.000000,-0.000000,734.311313,1425.409212,-734.311313,-1425.409212,-1425.409212,734.311313,1425.409212,-734.311313
7782.000000,-0.000000,-0.000000,729.927131,1430.703346,-729.927131,-1430.703346,-1430.703346,729.927131,1430.703346,-729.927131
7783.000000,-0.000000,-0.000000,725.534079,1435.980179,-725.534079,-1435.980179,-1435.980179,725.534079,1435.980179,-725.534079
7784.000000,-0.000000,-0.000000,721.132256,1441.239736,-721.132256,-1441.239736,-1441.239736,721.132256,1441.239736,-721.132256
7785.000000,-0.000000,-0.000000,716.721758,1446.482042,-716.721758,-1446.482042,-1446.482042,716.721758,1446.482042,-716.721758
7786.000000,-0.000000,-0.000000,712.302683,1451.707120,-712.302683,-1451.707120,-1451.707120,712.302683,1451.707120,-712.302683
7787.000000,-0.000000,-0.000000,707.875125,1456.914996,-707.875125,-1456.914996,-1456.914996,707.875125,1456.914996,-707.875125
7788.000000,-0.000000,-0.000000,703.439181,1462.105696,-703.439181,-1462.105696,-1462.105696,703.439181,1462.105696,-703.439181
7789.000000,-0.000000,-0.000000,698.994944,1467.279244,-698.994944,-1467.279244,-1467.279244,698.994944,1467.279244,-698.994944
7790.000000,-0.000000,-0.000000,694.542509,1472.435668,-694.542509,-1472.435668,-1472.435668,694.542509,1472.435668,-694.542509
7791.000000,-0.000000,-0.000000,690.081969,1477.574993,-690.081969,-1477.574993,-1477.574993,690.081969,1477.574993,-690.081969
7792.000000,-0.000000,-0.000000,685.613415,1482.697248,-685.613415,-1482.697248,-1482.697248,685.613415,1482.697248,-685.613415
7793.000000,-0.000000,-0.000000,681.136942,1487.802459,-681.136942,-1487.802459,-1487.802459,681.136942,1487.802459,-681.136942
7794.000000,-0.000000,-0.000000,676.652638,1492.890653,-676.652638,-1492.890653,-1492.890653,676.652638,1492.890653,-676.652638
7795.000000,-0.000000,-0.000000,672.160597,1497.961860,-672.160597,-1497.961860,-1497.961860,672.160597,1497.961860,-672.160597
7796.000000,-0.000000,-0.000000,667.660907,1503.016107,-667.660907,-1503.016107,-1503.016107,667.660907,1503.016107,-667.660907
7797.000000,-0.000000,-0.000000,663.153657,1508.053424,-663.153657,-1508.053424,-1508.053424,663.153657,1508.053424,-663.153657
7798.000000,-0.000000,-0.000000,658.638938,1513.073839,-658.638938,-1513.073839,-1513.073839,658.638938,1513.073839,-658.638938
7799.000000,-0.000000,-0.000000,654.116837,1518.077381,-654.116837,-1518.077381,-1518.077381,654.116837,1518.077381,-654.116837
7800.000000,-0.000000,-0.000000,649.587441,1523.064081,-649.587441,-1523.064081,-1523.064081,649.587441,1523.064081,-649.587441
7801.000000,-0.000000,-0.000000,645.050837,1528.033969,-645.050837,-1528.033969,-1528.033969,645.050837,1528.033969,-645.050837
7802.000000,-0.000000,-0.000000,640.507113,1532.987074,-640.507113,-1532.987074,-1532.987074,640.507113,1532.987074,-640.507113
7803.000000,-0.000000,-0.000000,635.956353,1537.923428,-635.956353,-1537.923428,-1537.923428,635.956353,1537.923428,-635.956353
7804.000000,-0.000000,-0.000000,631.398644,1542.843061,-631.398644,-1542.843061,-1542.843061,631.398644,1542.843061,-631.398644
7805.000000,-0.000000,-0.000000,626.834068,1547.746005,-626.834068,-1547.746005,-1547.746005,626.834068,1547.746005,-626.834068
